,Learning rates,Number of leaf nodes,Number of trees,MSE
493,0.06736842105263158,23.0,69.0,101815.8922626646
494,0.06736842105263158,23.0,75.0,107586.10449664838
495,0.06736842105263158,23.0,80.0,104644.62303035053
496,0.06736842105263158,23.0,85.0,103719.18282521167
497,0.06736842105263158,23.0,90.0,101423.95651879747
498,0.06736842105263158,23.0,96.0,96695.35220084364
499,0.06736842105263158,23.0,101.0,104003.52078350798
500,0.06736842105263158,28.0,1.0,346221.457041815
501,0.06736842105263158,28.0,6.0,102536.89443849292
502,0.06736842105263158,28.0,12.0,86273.13205813753
503,0.06736842105263158,28.0,17.0,91590.1138848041
504,0.06736842105263158,28.0,22.0,94651.4886296951
505,0.06736842105263158,28.0,27.0,91001.76934122806
506,0.06736842105263158,28.0,33.0,85420.84949003182
507,0.06736842105263158,28.0,38.0,89103.80459546915
508,0.06736842105263158,28.0,43.0,84776.25414077747
509,0.06736842105263158,28.0,48.0,90473.37036446841
510,0.06736842105263158,28.0,54.0,90531.35319119316
511,0.06736842105263158,28.0,59.0,92057.04040031675
512,0.06736842105263158,28.0,64.0,85872.30354620707
513,0.06736842105263158,28.0,69.0,91802.10617101505
514,0.06736842105263158,28.0,75.0,87092.04202816355
515,0.06736842105263158,28.0,80.0,89360.96018772492
516,0.06736842105263158,28.0,85.0,90289.1086456437
517,0.06736842105263158,28.0,90.0,88914.09766683522
518,0.06736842105263158,28.0,96.0,88474.24885161083
519,0.06736842105263158,28.0,101.0,84998.9497292063
520,0.06736842105263158,33.0,1.0,150214.92853664057
521,0.06736842105263158,33.0,6.0,102451.42016619624
522,0.06736842105263158,33.0,12.0,88000.63587306695
523,0.06736842105263158,33.0,17.0,83030.46806290507
524,0.06736842105263158,33.0,22.0,74663.21053426922
525,0.06736842105263158,33.0,27.0,78692.33288063116
526,0.06736842105263158,33.0,33.0,85241.92523191354
527,0.06736842105263158,33.0,38.0,78995.63813964155
528,0.06736842105263158,33.0,43.0,78691.95166873507
529,0.06736842105263158,33.0,48.0,77146.2980093381
530,0.06736842105263158,33.0,54.0,74812.86874787345
531,0.06736842105263158,33.0,59.0,75144.82240811815
